"SamplePeriod","TriggerSample","CompressedData"
"0.00000001","5553230","True"
"SampleNumber","Reset","MISO","SCK","MOSI","SPI Example","MISO","SCK","MOSI","MOSI","SCK"
"8913930","1","0","1","0","","0","1","","0","1"
"8927179","1","0","0","0","","0","0","","0","0"
"8942159","1","0","1","0","","0","1","","0","1"
"8942163","1","1","1","0","","1","1","","0","1"
"8955442","1","1","0","0","B2h","1","0","20h","0","0"
"8968623","1","1","1","0","","1","1","","0","1"
"8968626","1","0","1","0","","0","1","","0","1"
"8981872","1","0","0","0","","0","0","","0","0"
"8995053","1","0","1","0","","0","1","","0","1"
"8995056","1","1","1","1","","1","1","","1","1"
"8995057","1","1","1","0","","1","1","","0","1"
"8995186","1","1","1","1","","1","1","","1","1"
"9008402","1","1","0","1","","1","0","","1","0"
"9021433","1","1","0","0","","1","0","","0","0"
"9021583","1","1","1","0","","1","1","","0","1"
"9034866","1","1","0","0","","1","0","","0","0"
"9048046","1","1","1","0","","1","1","","0","1"
"9048050","1","0","1","0","","0","1","","0","1"
"9061296","1","0","0","0","","0","0","","0","0"
"9074476","1","0","1","0","","0","1","","0","1"
"9087725","1","0","0","0","","0","0","","0","0"
"9100906","1","0","1","0","","0","1","","0","1"
"9100909","1","1","1","0","","1","1","","0","1"
"9114189","1","1","0","0","","1","0","","0","0"
"9127370","1","1","1","0","","1","1","","0","1"
"9127373","1","0","1","0","","0","1","","0","1"
"9140619","1","0","0","0","","0","0","","0","0"
"9154658","1","0","1","0","","0","1","","0","1"
"9167907","1","0","0","0","20h","0","0","00h","0","0"
"9181088","1","0","1","0","","0","1","","0","1"
"9194337","1","0","0","0","","0","0","","0","0"
"9207518","1","0","1","0","","0","1","","0","1"
"9207521","1","1","1","0","","1","1","","0","1"
"9220800","1","1","0","0","","1","0","","0","0"
"9233981","1","1","1","0","","1","1","","0","1"
"9233984","1","0","1","0","","0","1","","0","1"
"9247230","1","0","0","0","","0","0","","0","0"
"9260411","1","0","1","0","","0","1","","0","1"
"9273660","1","0","0","0","","0","0","","0","0"
"9286841","1","0","1","0","","0","1","","0","1"
"9300090","1","0","0","0","","0","0","","0","0"
"9313271","1","0","1","0","","0","1","","0","1"
"9326520","1","0","0","0","","0","0","","0","0"
"9339701","1","0","1","0","","0","1","","0","1"
"9352950","1","0","0","0","","0","0","","0","0"
"9366989","1","0","1","0","","0","1","","0","1"
"9380239","1","0","0","0","00h","0","0","00h","0","0"
"9393419","1","0","1","0","","0","1","","0","1"
"9406669","1","0","0","0","","0","0","","0","0"
"9419849","1","0","1","0","","0","1","","0","1"
"9433099","1","0","0","0","","0","0","","0","0"
